Timestamp,Personas,Autos
2025-12-12 18:54:42,3,15
2025-12-12 18:54:43,3,19
2025-12-12 18:54:45,5,16
2025-12-12 18:54:48,6,18
2025-12-12 18:54:50,4,12
2025-12-12 18:54:51,3,18
2025-12-13 09:22:17,3,15
2025-12-13 09:22:18,3,19
2025-12-13 09:22:19,4,16
2025-12-13 09:22:20,5,16
2025-12-13 09:22:39,3,15
2025-12-13 09:22:40,3,19
2025-12-13 09:22:42,5,16
2025-12-13 09:22:43,6,18
2025-12-13 09:22:46,4,12
2025-12-13 09:22:48,4,15
2025-12-13 09:22:50,3,12
2025-12-13 09:22:51,5,12
2025-12-13 09:22:53,5,12
2025-12-13 09:22:54,4,11
2025-12-13 09:22:56,5,19
2025-12-13 09:22:57,5,20
2025-12-13 09:22:59,4,13
2025-12-13 09:23:01,3,18
2025-12-13 09:23:02,3,15
2025-12-13 09:23:04,3,15
2025-12-13 09:23:05,5,12
2025-12-13 09:23:06,5,12
2025-12-13 09:23:08,4,15
2025-12-13 09:23:10,5,12
2025-12-13 09:23:11,5,8
2025-12-13 09:23:13,5,11
2025-12-13 09:23:15,5,14
2025-12-13 09:23:17,4,15
2025-12-13 09:23:18,4,14
2025-12-13 09:23:20,6,17
2025-12-13 09:23:22,6,10
2025-12-13 09:23:23,5,11
2025-12-13 09:23:25,2,20
2025-12-13 09:23:27,6,10
2025-12-13 09:23:28,4,9
2025-12-13 09:23:30,5,8
2025-12-13 09:23:31,6,13
2025-12-13 09:23:33,7,12
2025-12-13 09:23:35,5,12
2025-12-13 09:23:37,5,15
2025-12-13 09:23:38,5,14
2025-12-13 09:23:39,4,10
2025-12-13 09:23:40,5,16
2025-12-13 09:23:42,6,19
2025-12-13 09:23:44,5,12
2025-12-13 09:23:45,4,12
2025-12-13 09:23:47,4,16
2025-12-13 09:23:48,3,16
2025-12-13 09:23:50,3,13
2025-12-13 09:23:52,3,20
2025-12-13 09:23:53,5,22
2025-12-13 09:23:55,4,15
2025-12-13 09:23:57,5,22
2025-12-13 09:23:58,4,12
2025-12-13 09:23:59,6,12
2025-12-13 09:24:01,4,12
2025-12-13 09:24:02,5,17
2025-12-13 09:24:03,5,13
2025-12-13 09:24:05,3,15
2025-12-13 09:24:07,3,14
2025-12-13 09:24:09,1,16
2025-12-13 09:24:10,2,15
2025-12-14 18:14:16,3,19
2025-12-14 18:14:18,5,16
2025-12-14 18:14:21,5,11
2025-12-14 18:14:22,5,11
2025-12-14 18:14:24,3,18
2025-12-14 18:14:25,4,14
2025-12-14 18:14:27,4,15
2025-12-14 18:14:28,4,11
2025-12-14 18:15:13,0,22
2025-12-14 18:15:15,0,22
2025-12-14 18:15:18,0,26
2025-12-14 18:15:19,0,22
2025-12-14 18:15:20,0,24
2025-12-14 18:15:21,0,23
2025-12-14 18:15:23,0,23
2025-12-14 18:15:24,0,24
2025-12-14 18:15:26,0,20
2025-12-14 18:15:27,0,28
2025-12-14 18:15:28,0,21
2025-12-14 18:15:29,0,22
2025-12-14 18:15:31,0,23
2025-12-14 18:15:32,0,25
2025-12-14 18:15:33,0,26
2025-12-14 18:15:34,0,20
2025-12-14 18:15:35,0,24
2025-12-14 18:15:36,0,19
2025-12-14 18:15:37,0,26
2025-12-14 18:15:38,0,27
2025-12-14 18:15:39,0,25
2025-12-14 18:15:40,0,16
2025-12-14 18:15:41,0,25
2025-12-14 18:15:42,0,20
2025-12-14 18:15:44,0,18
2025-12-14 18:15:45,0,21
2025-12-14 18:15:46,0,21
2025-12-14 18:15:48,0,25
2025-12-14 18:15:49,0,19
2025-12-14 18:15:50,0,20
2025-12-14 18:15:52,0,18
2025-12-14 18:16:37,3,19
2025-12-14 18:16:38,5,16
2025-12-14 18:16:40,6,18
2025-12-14 18:16:41,4,12
2025-12-14 18:16:43,4,15
2025-12-14 18:16:44,3,12
2025-12-14 18:16:46,5,12
2025-12-14 18:16:48,5,12
2025-12-14 18:16:49,4,11
2025-12-14 18:16:51,5,19
2025-12-15 15:43:54,3,15
2025-12-15 15:43:56,3,19
2025-12-15 15:43:58,4,16
2025-12-15 15:43:59,5,16
2025-12-15 15:44:00,5,11
2025-12-15 15:44:02,6,18
2025-12-15 15:44:03,5,11
2025-12-15 15:44:04,4,12
2025-12-15 15:44:05,3,18
2025-12-15 15:44:07,4,15
2025-12-15 15:44:08,4,14
2025-12-15 15:44:09,3,12
2025-12-15 15:44:10,4,15
2025-12-15 15:44:12,4,11
2025-12-15 15:44:14,6,11
2025-12-15 15:44:16,4,12
2025-12-15 15:44:19,5,19
2025-12-15 15:44:37,5,16
2025-12-15 15:44:39,5,20
2025-12-15 15:44:41,7,17
2025-12-15 15:44:42,4,13
2025-12-15 15:44:44,4,18
2025-12-15 15:44:45,3,18
2025-12-15 15:44:47,4,15
2025-12-15 15:44:48,3,15
2025-12-15 15:44:50,3,16
2025-12-15 15:44:51,3,15
2025-12-15 15:44:53,4,12
2025-12-15 15:44:54,5,12
2025-12-17 16:05:57,3,19
2025-12-17 16:05:59,5,16
2025-12-17 16:06:00,6,18
2025-12-17 16:06:01,4,12
2025-12-17 16:06:03,4,15
2025-12-17 16:06:04,3,12
2025-12-17 16:06:05,5,12
2025-12-17 16:06:06,4,11
2025-12-17 16:06:08,6,11
2025-12-17 16:06:45,0,22
2025-12-17 16:06:47,0,22
2025-12-17 16:06:48,0,26
2025-12-17 16:06:49,0,22
2025-12-17 16:06:51,0,24
2025-12-17 16:06:52,0,23
2025-12-17 16:06:54,0,25
2025-12-17 16:06:55,0,18
2025-12-17 16:06:57,0,20
2025-12-17 16:06:58,0,20
2025-12-17 16:06:59,1,22
2025-12-17 16:07:01,0,21
2025-12-17 16:07:02,0,23
2025-12-17 16:07:03,0,24
2025-12-17 16:07:05,0,23
2025-12-17 16:07:06,0,28
2025-12-17 16:07:07,0,20
2025-12-17 16:29:20,0,22
2025-12-17 16:29:21,0,22
2025-12-17 16:29:22,0,26
2025-12-17 16:29:24,0,22
2025-12-17 16:44:39,0,22
2025-12-17 16:44:40,0,23
2025-12-17 16:44:42,0,24
2025-12-17 17:42:05,0,22
2025-12-17 17:42:06,0,22
2025-12-17 17:42:08,0,26
2025-12-17 17:42:09,0,22
